80,357,544,369,544,405,79,393,0.99974304
80,165,736,177,736,212,79,200,0.9997396
80,472,640,486,640,522,79,508,0.9997392
80,9,992,24,992,60,79,45,0.9997284
80,282,688,292,688,327,79,317,0.99972814
80,395,544,406,544,441,79,431,0.9997272
80,434,672,449,672,485,79,470,0.9997241
80,205,560,213,560,246,79,238,0.99972314
80,48,896,63,896,97,79,82,0.99972314
80,242,608,253,608,288,79,277,0.9997193
80,88,1104,105,1104,139,79,122,0.9997185
831,276,1024,273,1024,339,832,341,0.99971825
80,319,688,332,688,367,79,354,0.9997181
80,127,1120,144,1120,178,79,161,0.99971324
1015,441,1088,432,1096,501,1024,510,0.9997124
