223,146,448,144,448,161,224,163,0.9986106
224,515,400,517,400,534,223,532,0.99861
224,62,496,64,496,83,223,81,0.9985827
224,412,496,413,496,432,223,430,0.99851745
224,204,496,207,496,225,223,223,0.99849415
224,267,448,267,448,285,223,285,0.9984491
224,434,480,435,480,452,223,451,0.9983923
224,123,464,125,464,143,223,141,0.99836975
224,492,448,497,448,515,223,510,0.99834394
224,350,448,352,448,370,223,368,0.99832314
223,373,496,372,496,389,224,390,0.9982987
224,289,448,290,448,308,223,306,0.9982755
223,228,464,227,464,244,224,245,0.998237
224,248,496,248,496,265,223,265,0.9982362
224,329,432,330,432,347,223,347,0.9981718
223,185,464,185,464,202,224,203,0.99814117
224,553,384,555,384,573,223,571,0.99813986
224,536,384,536,384,553,223,553,0.9981342
223,105,432,105,432,121,224,122,0.99811953
223,40,432,40,432,58,224,58,0.99811697
224,474,448,474,448,491,223,491,0.99811554
223,393,448,392,448,409,224,409,0.99808395
224,84,480,85,480,102,223,101,0.9980506
224,166,496,166,496,183,223,182,0.99803394
223,457,480,456,480,473,224,473,0.9980292
223,313,448,311,448,327,224,330,0.9980221
560,589,735,591,735,607,559,606,0.99801695
