240,555,465,564,464,598,238,589,0.9995672
192,204,228,208,224,258,187,254,0.99954957
239,0,800,-1,800,15,240,16,0.99954516
303,75,720,72,720,102,304,104,0.999529
224,244,497,253,496,282,222,273,0.9995284
687,440,816,438,816,468,688,470,0.9995258
592,462,641,467,640,485,590,480,0.99952376
336,206,848,208,848,233,335,231,0.9995229
272,224,848,231,848,257,271,251,0.9995147
543,472,592,472,592,490,544,491,0.99951315
223,41,736,35,736,61,224,66,0.99951315
336,181,848,185,848,211,335,207,0.9995123
624,566,672,568,672,599,623,597,0.9995123
319,104,704,101,704,124,320,127,0.99951077
175,378,848,378,848,396,176,397,0.99949646
319,287,704,287,704,315,320,315,0.9994898
176,347,848,349,848,371,175,369,0.9994844
176,327,848,327,848,349,175,348,0.9994703
176,396,864,397,864,416,175,416,0.9994628
176,430,640,435,640,453,175,447,0.9994573
176,413,640,417,640,434,175,430,0.9994505
176,448,640,451,640,468,175,465,0.9994492
288,135,832,136,832,164,287,162,0.9994485
288,589,400,592,400,609,287,606,0.9994467
624,542,658,546,656,574,621,570,0.99944633
240,170,309,178,304,226,234,218,0.9994455
176,463,544,467,544,485,175,482,0.99944526
-57,368,80,255,137,324,0,438,0.99944276
23,285,80,269,104,356,48,371,0.9994425
2,509,48,501,61,581,16,589,0.99944216
912,535,960,536,960,606,911,605,0.9994349
176,479,448,492,448,511,175,498,0.9994326
223,17,784,13,784,37,224,41,0.9994288
240,217,272,217,272,249,239,248,0.9994217
623,510,656,509,656,539,624,540,0.99941516
175,164,832,156,832,185,176,192,0.9994134
