31,49,240,48,240,74,32,75,0.9995609
32,10,224,12,224,48,31,45,0.99956053
31,0,128,-2,128,14,32,17,0.9995291
31,178,480,178,480,198,32,199,0.99951744
16,574,560,575,560,594,15,592,0.99948174
176,437,320,437,320,453,175,453,0.99946934
319,444,544,443,544,460,320,460,0.9994685
64,442,240,447,240,463,63,458,0.9994647
16,632,160,636,160,654,15,650,0.99942136
15,554,560,553,560,571,16,572,0.99941254
16,594,544,595,544,613,15,612,0.9994036
31,268,176,268,176,283,32,284,0.9993987
400,626,514,732,448,803,333,698,0.99937916
16,475,560,476,560,494,15,493,0.99930274
32,139,416,140,416,157,31,155,0.99929106
31,127,416,122,416,138,32,143,0.99928564
208,244,320,245,320,263,207,263,0.99926823
15,614,208,614,208,631,16,631,0.99923825
15,384,560,380,560,397,16,400,0.9992217
16,495,560,497,560,514,15,513,0.99910706
16,400,560,401,560,416,15,416,0.99899894
16,419,560,420,560,435,15,435,0.9989786
47,223,480,222,480,244,48,245,0.99896634
31,157,224,156,224,173,32,174,0.99894124
15,517,560,517,560,533,16,533,0.99893945
400,823,449,826,448,846,398,843,0.9989329
32,200,464,201,464,218,31,217,0.9989242
16,457,560,457,560,475,15,475,0.99890804
16,537,560,538,560,555,15,554,0.9989009
32,107,416,109,416,124,31,122,0.9988919
16,437,64,438,64,454,15,452,0.9988657
48,80,304,81,304,104,47,103,0.99885035
15,365,544,363,544,381,16,382,0.99883753
16,346,544,348,544,364,15,362,0.99883515
16,305,368,307,368,323,15,321,0.9988105
16,324,512,324,512,341,15,340,0.9988073
16,285,256,288,256,304,15,302,0.9988036
