cat_name,product_brand,product_name,product_url,product_rating,product_price,product_volume,product_img
Skin care,Tula Skincare,The Instant Facial Dual Phase Skin Reviving Treatment Pads,https://www.beautypedia.com/products/the-instant-facial-dual-phase-skin-reviving-treatment-pads/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,2,$59.00,16 pad,https://www.beautypedia.com/wp-content/uploads/2020/10/Tula-Skincare-The-Instant-Facial-Dual-Phase-Skin-Reviving-Treatment-Pads.jpg?w=242
Skin care,Tula Skincare,Get Toned Pro-Glycolic 10% Resurfacing Toner,https://www.beautypedia.com/products/get-toned-pro-glycolic-10-resurfacing-toner/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$34.00,3.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/Tula-Skincare-Get-Toned-Pro-Glycolic-10-Resurfacing-Toner.jpg?w=242
Skin care,Garnier Nutritioniste,Green Labs Canna-B Pore Perfecting Serum Cream Fragrance Free SPF 30,https://www.beautypedia.com/products/green-labs-canna-b-pore-perfecting-serum-cream-fragrance-free-spf-30/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$21.99,2.4 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/Garnier-Green-Labs-Canna-B-Pore-Perfecting-Serum-Cream-Fragrance-Free-SPF-30.jpg?w=300
Skin care,Garnier Nutritioniste,Green Labs Hyalu-Melon Smoothing Milky Wash,https://www.beautypedia.com/products/green-labs-hyalu-melon-smoothing-milky-wash/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$9.99,4.4 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/74831621-778F-4D2A-935A-B30D4407CFDF_garniernutritioniste.png?w=250
Skin care,Bliss,Clear Genius Clarifying Toner + Serum Clarity 5 Complex,https://www.beautypedia.com/products/clear-genius-clarifying-toner-serum-clarity-5-complex/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,3,$18.00,4.3 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/Bliss-Clear-Genius-Clarifying-Toner-Serum-Clarity-5-Complex.jpg?w=144
Skin care,Bliss,Clear Genius 10% AHA + BHA + PHA Blend Clarifying Liquid Peel,https://www.beautypedia.com/products/clear-genius-10-aha-bha-pha-blend-clarifying-liquid-peel/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$22.00,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/Bliss-Clear-Genius-10-AHA-BHA-PHA-Blend-Clarifying-Liquid-Peel.jpg?w=300
Skin care,Bliss,Clear Genius Clarifying Gel Cleanser with BHA + Brazilian Sea Water,https://www.beautypedia.com/products/clear-genius-clarifying-gel-cleanser-with-bha-brazilian-sea-water/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,3,$13.00,6.4 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/Bliss-Clear-Genius-Clarifying-Gel-Cleanser-with-BHA-Brazilian-Sea-Water.jpg?w=300
Skin care,The Ordinary,Lactic Acid 5% + HA,https://www.beautypedia.com/products/lactic-acid-5-ha-2/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,5,$6.50,1 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/The-Ordinary-Lactic-Acid-5-HA.jpg?w=178
Skin care,The Ordinary,Lactic Acid 10% + HA,https://www.beautypedia.com/products/lactic-acid-10-2-ha/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,5,$6.80,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/The-Ordinary-Lactic-Acid-10-HA.jpg?w=250
Skin care,The Ordinary,100% Organic Virgin Sea-Buckthorn Oil,https://www.beautypedia.com/products/100-organic-virgin-sea-buckthorn-oil/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,3,$14.90,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/7E23A9E0-C757-4273-9F53-F798ADB11A6A_3-22-2017-1-27-28-PM.jpg?w=300
Skin care,The Ordinary,100% Organic Cold-Pressed Virgin Marula Oil,https://www.beautypedia.com/products/100-organic-cold-pressed-virgin-marula-oil/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$9.90,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/The-Ordinary-100-Organic-Cold-Pressed-Virgin-Marula-Oil.jpg?w=300
Skin care,The Ordinary,100% Organic Cold-Pressed Moroccan Argan Oil,https://www.beautypedia.com/products/100-organic-cold-pressed-moroccan-argan-oil/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$6.80,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/The-Ordinary-100-Organic-Cold-Pressed-Moroccan-Argan-Oil.jpg?w=178
Skin care,Perricone MD Cosmeceuticals,Hypoallergenic CBD Sensitive Skin Therapy Gentle Cleanser,https://www.beautypedia.com/products/hypoallergenic-cbd-sensitive-skin-therapy-gentle-cleanser/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,5,$35.00,6.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/437A101F-0106-4A72-9FC9-07CCFD48769C_Perricone-MD.gif?w=147
Skin care,Differin,Detox + Soothe 2-Step Treatment Mask,https://www.beautypedia.com/products/detox-soothe-2-step-treatment-mask/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,2,$17.97,1.75 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/Differin-Detox-Soothe-2-Step-Treatment-Mask.jpg?w=300
Skin care,Banila Co,Dear Hydration Toner,https://www.beautypedia.com/products/dear-hydration-toner/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,1,$16.00,9.4 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/Banila-Co-Dear-Hydration-Toner.jpg?w=154
Skin care,Banila Co,Dear Hydration Boosting Cream,https://www.beautypedia.com/products/dear-hydration-boosting-cream/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,2,$25.00,1.69 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/Banila-Co-Dear-Hydration-Boosting-Cream.jpg?w=300
Skin care,Banila Co,Clean It Zero Foam Cleanser,https://www.beautypedia.com/products/clean-it-zero-foam-cleanser/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$14.00,5.07 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/Banila-Co-Clean-It-Zero-Foam-Cleanser.jpg?w=300
Skin care,Banila Co,Clean It Zero Cleansing Balm Original,https://www.beautypedia.com/products/clean-it-zero-cleansing-balm-original/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$19.00,6.08 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/Banila-Co-Clean-It-Zero-Cleansing-Balm-Original.jpg?w=300
Skin care,Kylie Skin,Detox Face Mask,https://www.beautypedia.com/products/detox-face-mask/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$22.00,1.7 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2019/06/kylie-skin-logo.jpg?w=300
Skin care,Kylie Skin,Clear Complexion Correction Stick,https://www.beautypedia.com/products/clear-complexion-correction-stick/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,1,$22.00,0.17 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2019/06/kylie-skin-logo.jpg?w=300
Skin care,Kylie Skin,Clarifying Facial Oil,https://www.beautypedia.com/products/clarifying-facial-oil/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$24.00,0.7 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2019/06/kylie-skin-logo.jpg?w=300
Skin care,Kylie Skin,Broad Spectrum SPF 40 Face Sunscreen,https://www.beautypedia.com/products/broad-spectrum-spf-40-face-sunscreen/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,5,$28.00,1.7 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2019/06/kylie-skin-logo.jpg?w=300
Skin care,Versed Skincare,Keep the Peace Calming Cream Cleanser,https://www.beautypedia.com/products/keep-the-peace-calming-cream-cleanser/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,2,$16.99,4.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2019/11/Versed-Skincare-Logo.jpeg?w=300
