cat_name,product_brand,product_name,product_url,product_rating,product_price,product_volume,product_img
Skin care,NYX Cosmetics,California Beamin’ Face & Body Liquid Highlighter,https://www.beautypedia.com/products/california-beamin-face-body-liquid-highlighter/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,3,$10.00,0.74 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/E93F9B0D-676C-4933-94C8-64A696AC2B25_NYX.jpg?w=160
Skin care,Maybelline New York,The Falsies Lash Lift Mascara,https://www.beautypedia.com/products/the-falsies-lash-lift-mascara/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,5,$10.49,0.32 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/03/Maybelline-The-Falsies-Lash-Lift-Mascara.jpg?w=300
Skin care,Wet 'n Wild,Megalast Stained Glass Lip Gloss,https://www.beautypedia.com/products/megalast-stained-glass-lip-gloss/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,3,$5.99,0.08 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/03/Wet-n-Wild-Megalast-Stained-Glass-Lip-Gloss.jpg?w=300
Skin care,Supergoop!,Glow Screen SPF 40,https://www.beautypedia.com/products/glow-screen-spf-40/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,5,$36.00,1.7 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/8805935F-0D6B-4BEF-A048-D50CA93CD791_supergoop-logo.png?w=239
Skin care,CoverGirl,Exhibitionist 24-Hour Kohl Eyeliner,https://www.beautypedia.com/products/exhibitionist-24-hour-kohl-eyeliner/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,3,$10.99,0.04 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/03/CoverGirl-Exhibitionist-24-Hour-Kohl-Eyeliner.jpg?w=300
Skin care,Benefit,The POREfessional: Hydrate Primer,https://www.beautypedia.com/products/the-porefessional-hydrate-primer/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,4,$32.00,0.75 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/22A64E7F-F70C-4734-977B-4220505C4BBD_benefit.jpg?w=240
Skin care,CoverGirl,Easy Breezy Brow Draw & Fill,https://www.beautypedia.com/products/easy-breezy-brow-draw-fill/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,5,$10.99,0.005 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/01/CoverGirl-Easy-Breezy-Brow-Draw-Fill-Brow-Tool.jpg?w=300
Skin care,Smashbox,Studio Skin Full Coverage 24 Hour Foundation,https://www.beautypedia.com/products/studio-skin-full-coverage-24-hour-foundation/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,4,$36.00,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/01/Smashbox-Studio-Skin-Full-Coverage-24-Hour-Foundation.jpg?w=172
Skin care,CoverGirl,Clean Fresh Skin Milk,https://www.beautypedia.com/products/clean-fresh-skin-milk/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,3,$11.99,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/01/CoverGirl-Clean-Fresh-Skin-Milk.jpg?w=300
Skin care,CoverGirl,Clean Fresh Cream Blush,https://www.beautypedia.com/products/clean-fresh-cream-blush/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,5,$10.99,0.5 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/01/CoverGirl-Clean-Fresh-Cream-Blush.jpg?w=300
Skin care,CoverGirl,Clean Fresh Cooling Glow Stick,https://www.beautypedia.com/products/clean-fresh-cooling-glow-stick/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,3,$10.99,0.24 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/01/CoverGirl-Clean-Fresh-Cooling-Glow-Stick.jpg?w=300
Skin care,Revlon,Super Lustrous The Luscious Mattes Lipstick,https://www.beautypedia.com/products/super-lustrous-matte-lipstick/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,5,$8.49, fl. oz.,https://www.beautypedia.com/wp-content/uploads/2012/05/Revlon-Super-Lustrous-The-Luscious-Mattes-Lipstick.jpg?w=300
Skin care,Shiseido,Minimalist WhippedPowder Blush,https://www.beautypedia.com/products/minimalist-whippedpowder-blush/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,5,$26.00,0.17 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2019/11/Shiseido-Minimalist-WhippedPowder-Blush.jpg?w=300
Skin care,Benefit,Boi-ing Cakeless Concealer,https://www.beautypedia.com/products/boi-ing-cakeless-concealer/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,5,$22.00,0.17 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/22A64E7F-F70C-4734-977B-4220505C4BBD_benefit.jpg?w=240
Skin care,Benefit,Hello Happy Flawless Brightening Foundation SPF 15,https://www.beautypedia.com/products/hello-happy-flawless-brightening-foundation-spf-15/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,2,$30.00,0.33 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/22A64E7F-F70C-4734-977B-4220505C4BBD_benefit.jpg?w=240
Skin care,M.A.C.,Fix+ SPF 30 Sun Spray,https://www.beautypedia.com/products/fix-spf-30-sun-spray/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,1,$28.00,3.4 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/014EE830-7637-4D5D-9219-2EACD05DF719_mac-cosmetics-logo.jpg?w=200
Skin care,Flower Beauty,Mix N’Matte Lip Duo,https://www.beautypedia.com/products/mix-nmatte-lip-duo/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,5,$10.00,0.31 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2019/08/Flower-Beauty-Mix-N’Matte-Lip-Duo.jpg?w=300
