cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/874269-Oilogic_Stuffy_Nose__Cough_Essential_Oil_Care_for_Babies__Toddlers_Vapor_Bath/,,Oilogic Stuffy Nose & Cough Essential Oil Care for Babies & Toddlers Vapor Bath,03,https://static.ewg.org/skindeep_images/8742/874269.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/888355-Baby_Bum_Natural_Fragrance_Bubble_Bath/,Baby Bum,Natural Fragrance Bubble Bath,03,https://static.ewg.org/skindeep_images/8883/888355.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/879733-Johnsons_Bedtime_Bubble_Bath/,,Johnson's Bedtime Bubble Bath,04,https://static.ewg.org/skindeep_images/8797/879733.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/884448-Bela_Kids_Fizzy_Bath_Bomb_Sour_Apple/,,"Bela Kids Fizzy Bath Bomb, Sour Apple",04,https://static.ewg.org/skindeep_images/8844/884448.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/879725-Johnsons_Baby_Bubble_Bath/,,Johnson's Baby Bubble Bath,04,https://static.ewg.org/skindeep_images/8797/879725.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/881669-Johnsons_Soothing_Vapor_Bath/,,Johnson's Soothing Vapor Bath,04,https://static.ewg.org/skindeep_images/8816/881669.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/876756-Bela_Kids_Fizzy_Bath_Bomb_Cupcake_/,,"Bela Kids Fizzy Bath Bomb, Cupcake",04,https://static.ewg.org/skindeep_images/8767/876756.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/874408-Parents_Choice_Tear_Free_Calming_Night_Time_Baby_Bath/,Parent's Choice,Tear Free Calming Night Time Baby Bath,04,https://static.ewg.org/skindeep_images/8744/874408.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/788045-Mustela_MultiSensory_Bubble_Bath/,Mustela,Multi-Sensory Bubble Bath,04,https://static.ewg.org/skindeep_images/7880/788045.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/877397-Xtracare_Bubble_Bath_Watermelon_Scent/,,"Xtracare Bubble Bath, Watermelon Scent",05,https://static.ewg.org/skindeep_images/8773/877397.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/878865-Peppa_Pig_Bathtub_Fingerpaint_Set/,,Peppa Pig Bathtub Fingerpaint Set,05,https://static.ewg.org/skindeep_images/8788/878865.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/874270-Mustela_Bebe_Multi_Sensory_Bubble_Bath/,Mustela,Bebe Multi Sensory Bubble Bath,05,https://static.ewg.org/skindeep_images/8742/874270.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/883692-Baby_Magic_Calming_Baby_Bath_Lavender__Chamomile/,Baby Magic,"Calming Baby Bath, Lavender & Chamomile",06,https://static.ewg.org/skindeep_images/8836/883692.jpg
Babies,Baby Lotion,https://www.ewg.org/skindeep/products/938292-NOLEO_3in1_Diaper_Care/,Noleo,3-in-1 Diaper Care,verified,https://static.ewg.org/skindeep_images/9382/938292.jpg
Babies,Baby Lotion,https://www.ewg.org/skindeep/products/926941-Mustela_Soothing_Moisturizing_Body_Lotion_Fragrance_Free/,Mustela,"Soothing Moisturizing Body Lotion, Fragrance Free",verified,https://static.ewg.org/skindeep_images/9269/926941.jpg
Babies,Baby Lotion,https://www.ewg.org/skindeep/products/943031-Evereden_Nourishing_Baby_Face_Cream_FragranceFree/,Evereden,"Nourishing Baby Face Cream, Fragrance-Free",verified,https://phorcys-static.ewg.org/image/contents/548472/original.
Babies,Baby Lotion,https://www.ewg.org/skindeep/products/739612-The_Big_Green_Skin_Barrier_Face__Body_Lotion/,The Big Green,Skin Barrier Face & Body Lotion,verified,https://static.ewg.org/skindeep_images/7396/739612.jpg
Babies,Baby Lotion,https://www.ewg.org/skindeep/products/902531-Pipette_Baby_Lotion_with_Calming_Aroma/,Pipette,Baby Lotion with Calming Aroma,verified,https://static.ewg.org/skindeep_images/9025/902531.jpg
Babies,Baby Lotion,https://www.ewg.org/skindeep/products/715987-Whamisa_Organic_Carrot_Baby__Kids_Oil_Balm/,Whamisa,Organic Carrot Baby & Kids Oil Balm,verified,https://static.ewg.org/skindeep_images/7159/715987.jpg
Babies,Baby Lotion,https://www.ewg.org/skindeep/products/739615-The_Big_Green_Skin_Barrier_Baby_Sheatherapy_Cream/,The Big Green,Skin Barrier Baby Sheatherapy Cream,verified,https://static.ewg.org/skindeep_images/7396/739615.jpg
Babies,Baby Lotion,https://www.ewg.org/skindeep/products/795528-Bare_Nuhcessities_Bare_Balancing_Baby_Lotion/,Bare Nuhcessities,Bare Balancing Baby Lotion,verified,https://static.ewg.org/skindeep_images/7955/795528.jpg
Babies,Baby Lotion,https://www.ewg.org/skindeep/products/666587-Baby_Mantra_Calming_Lotion_with_Shea_Butter__Lavender_Oil/,Baby Mantra,Calming Lotion with Shea Butter & Lavender Oil,verified,https://static.ewg.org/skindeep_images/6665/666587.png
Babies,Baby Lotion,https://www.ewg.org/skindeep/products/739618-Angel_Heals_Organic_Baby_Lotion/,Angel Heals,Organic Baby Lotion,verified,https://static.ewg.org/skindeep_images/7396/739618.jpg
Babies,Baby Lotion,https://www.ewg.org/skindeep/products/800993-Oras_Amazing_Herbal_Newborn_Salve/,Ora's Amazing Herbal,Newborn Salve,verified,https://static.ewg.org/skindeep_images/8009/800993.jpg
Babies,Baby Lotion,https://www.ewg.org/skindeep/products/936295-Mustela_BabyChild_Hydrating_Cream_with_Olive_Oil_and_Aloe_Fragrance_Free/,Mustela,"Baby-Child Hydrating Cream with Olive Oil and Aloe, Fragrance Free",verified,https://static.ewg.org/skindeep_images/9362/936295.jpg
