cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img,ingredient_list
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/707398-Whamisa_Organic_Aloe_Baby_Hair__Body_Cleanser/,Whamisa,Organic Aloe Baby Hair & Body Cleanser,verified,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"*Aloe Maculata Leaf Extract, **Decyl Glucoside, **Disodium Cocoyl Glutamate, **Palm Kernel/Coco Glucoside, *Camellia Japonica Seed Oil, *Lactobacillus/Maculata Leaf Aloe Barbadensis Ferment Filtrate, *Lactobacillus/Avena Sativa (Oat) Kernel Ferment Filtrate, *Lactobacillus/Rice Ferment Filtrate, *Helichrysum Italicum Extract, *Coix Lacryma-Jobi Ma-yuen Seed Extract, *Avena Sativa (Oat) Kernel Extract, *Rhodiola Rosea Root Extract, *Brassica Oleracea Italica (Broccoli) Extract, *Olea Europaea (Olive) Leaf Extract, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Xanthan Gum, Cyamopsis Tetragonoloba (Guar) Gum, Sodium Chloride, Jasminum Grandiflorum (Jasmine) Oil, Salvia Officinalis (Sage) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Aniba Rosaeodora (Rosewood) Wood Oil."
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/920615-Hello_Bello_Premium_Shampoo_and_Body_Wash_Calming_Soft_Lavender_/,Hello Bello,"Premium Shampoo and Body Wash, Calming Soft Lavender",verified,https://static.ewg.org/skindeep_images/9206/920615.jpg,"Water, Sodium Laurylglucosides Hydroxypropylsulfonate, Cocamidopropyl Hydroxysultaine, Sodium Lauroyl Methyl Isethionate, Glycerin, Sodium Methyl Cocoyl Taurate, Aloe Barbadensis Leaf Juice*, Helianthus Annuus (Sunflower) Seed Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Persea Gratissima (Avocado) Fruit Extract*, Calendula Officinalis Flower Extract*, Cucumis Sativus (Cucumber) Fruit Extract*, Lavandula Angustifolia (Lavender) Oil, Sodium Chloride, 1,2-Hexanediol, Hydroxyacetophenone, Dehydroacetic Acid, Tetrasodium Glutamate Diacetate, Citric Acid
*Organic"
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/773148-ATTITUDE_baby_leaves_2in1_Shampoo_apple/,ATTITUDE,"baby leaves 2in1 Shampoo, apple",verified,https://static.ewg.org/skindeep_images/7731/773148.jpg,"Aqua / water / eau, sodium coco-sulfate, coco glucoside, glycerin, sodium cocoyl isethionate, sodium chloride, citric acid, glyceryl oleate, sodium benzoate, potassium sorbate, vaccinium angustifolium (blueberry / bleuet) leaf extract, inulin, maltodextrin, moringa oleifera seed extract, cyamopsis tetragonoba (guar) gum, triethyl citrate, hexyl acetate (fruit), gamma-undecalactone (sweet fruit), decanal (fruit)."
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/773149-ATTITUDE_baby_leaves_2in1_Shampoo_fragrancefree/,ATTITUDE,"baby leaves 2in1 Shampoo, fragrance-free",verified,https://phorcys-static.ewg.org/image/contents/496599/medium.png?1542643031,"Aqua / water / eau, sodium coco-sulfate, coco glucoside, glycerin, sodium cocoyl isethionate, sodium chloride, citric acid, glyceryl oleate, sodium benzoate, potassium sorbate, vaccinium angustifolium (blueberry / bleuet) leaf extract, inulin, maltodextrin, moringa oleifera seed extract, cyamopsis tetragonoba (guar) gum."
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/900349-Pipette_Baby_Shampoo__Wash/,Pipette,Baby Shampoo & Wash,verified,https://static.ewg.org/skindeep_images/9003/900349.jpg,"Water/Aqua/Eau, Lauryl Glucoside, Sodium Lauroamphoacetate, Glycerin, Citric Acid, Glycolipids, Squalane, Magnesium Chloride, Sodium Benzoate, Sodium Dehydroacetate, Sodium Gluconate"
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/773147-ATTITUDE_baby_leaves_2in1_Shampoo_good_night__almond_milk/,ATTITUDE,"baby leaves 2in1 Shampoo, good night / almond milk",verified,https://static.ewg.org/skindeep_images/7731/773147.jpg,"Aqua / water / eau, sodium coco-sulfate, coco glucoside, glycerin, sodium cocoyl isethionate, sodium chloride, citric acid, glyceryl oleate, sodium benzoate, potassium sorbate, vaccinium angustifolium (blueberry / bleuet) leaf extract, inulin, chamomilla recutita (matricaria) flower extract, maltodextrin, cyamopsis tetragonoba (guar) gum, moringa oleifera seed extract, linalyl acetate (herbal), vanillin."
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/704942-Baja_Baby_Unscented_Shampoo__Wash/,Baja Baby,Unscented Shampoo & Wash,verified,https://static.ewg.org/skindeep_images/7049/704942.jpg,"Glacial Water (Aqua), Coco Glucoside, Decyle Glucoside, Myristic Acid, Hydrogenated Ethylhexyl Olivate, Guar Gum, Organic Cold-Pressed Cannabis Sativa (Hemp) Oil, Pro-Vitamin B5 (Panthenol), Glucose, Glucose Oxidase, Lactoperoxidase"
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/739614-The_Big_Green_Skin_Barrier_Shampoo__Body_Wash/,The Big Green,Skin Barrier Shampoo & Body Wash,verified,https://static.ewg.org/skindeep_images/7396/739614.jpg,"Water, Aloe Barbadensis Leaf Juice, Decyl Glucoside, Lauryl Glucoside, Glycerin, Simmondsia Chinensis (Jojoba) Seed Oil, Anthemis Nobilis Flower Oil, Lavandula Angustifolia (Lavender) Oil, Coco-Glucoside, Xanthan Gum, Caprylyl Glycol, Glyceryl Oleate, Ethylhexylglycerin, Disodium EDTA, Citric Acid, Caprylhydroxamic Acid, Tocopherol"
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/745109-made_of_Baby_Shampoo_Sweet_Orange/,made of,"Baby Shampoo, Sweet Orange",verified,https://static.ewg.org/skindeep_images/7451/745109.jpg,"Organic Soap Nut (Sapindus Mukorossi) Juice, Decyl Glucoside, Sodium Lauroyl Lactylate, Caprylhydroxamic Acid, Caprylyl Glycol, Organic Jojoba (Simmondsia Chinensis) Oil, Organic Comfrey (Symphytum Officinale) Oil, Organic Calendula (Calendula Officinalis) Extract, Potassium Citrate, Organic Lavandin (Lavandula Hybrida) Essential Oil"
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/798724-Everyone_Baby_Bath_3in1_Simply_Unscented/,Everyone,"Baby Bath 3-in-1, Simply Unscented",verified,https://static.ewg.org/skindeep_images/7987/798724.jpg,"Purified Water, Cocamidopropyl Hydroxysultaine, Sodium Myristoyl Sarcosinate, Sodium Lauroamphoacetate, Caprylyl/Capryl Glucoside, Sodium Lauroyl Glutamate, Panthenol, Niacinamide, Oat Beta Glucan, Hydrolyzed Quinoa Protein, Avena Sativa (Oat) Kernel Extract, Calendula Officinalis Flower Extract, EO Organic Herbal Blend [Organic Aloe Barbadensis Leaf, Organic Chamomilla Recutita (Matricaria) Flower Extract, Organic Calendula Officinalis Flower Extract, and Organic Camellia Sinensis Leaf Extract], Sodium Phytate, Citric Acid, Potassium Sorbate, Sodium Levulinate, Citrus Aurantium Dulcis (Orange) Peel Oil, Cymbopogon Martinii Oil, *Limonene"
