cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img,ingredient_list
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/658124-Dolphin_Organics_Baby_Bubble_Bath_Fragrance_Free/,Dolphin Organics,Baby Bubble Bath Fragrance Free,verified,https://static.ewg.org/skindeep_images/6581/658124.jpg,"Aloe Barbadensis Leaf Juice From Concentrate, Coco-Glucocide, Sodium Cocoyl Glutamate, Glycerin, Capryloyl Glycine Simmondsia Chinensis (Jojoba) Seed Extract, Calendula Officinalis (Marigold) Flower Extract, Salix Alba (Willow) Bark Extract, Yucca Schidigera (Yucca) Root Extract, Avena Sativa (Oat) Kernel Extract, Lavandula Angustifolia (Lavender) Flower Extract, Cyamopsis Tetragonoloba (Guar) Gum, Potassium Sorbate Xanthan Gum"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/795527-Bare_Nuhcessities_Bare_Bubbly_Baby_Wash/,Bare Nuhcessities,Bare Bubbly Baby Wash,verified,https://static.ewg.org/skindeep_images/7955/795527.jpg,"Water, Lauramidopropyl Betaine, Sodium Cocoamphoacetate, Glyceryl Oleate Citrate, Sodium Chloride, Caprylic/Capric Triglyceride, Butyrospermum Parkii (Shea) Butter, Xanthan Gum, Citric Acid, Allantoin, Niacinamide, Decyl Glucoside, Lauryl Glucoside, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Hexylene glycol, Boswellia Carterii Oil (Frankincense oil), Anthemis Nobilis Flower Oil (Chamomile oil)"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/823601-Babo_Botanicals_Calming_Shampoo_Bubble_Bath__Wash_Lavender__Meadowsweet/,Babo Botanicals,"Calming Shampoo Bubble Bath & Wash, Lavender & Meadowsweet",verified,https://static.ewg.org/skindeep_images/8236/823601.jpg,"Water (Aqua), Sodium Lauroyl Methyl Isethionte, Coco Betaine, Coco-Glucoside, Glycerin, Sodium Methyl Cocoyl Taurate, Organic Aloe Barbadensis (Aloe Vera) Leaf Juice*, Lavandula Angustifolia (Lavender) Flower Oil, Lavandula Hybrida (Lavandin) Oil, Anthemis Nobilis (Chamomile) Flower Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Organic Argania Spinosa (Argan) Kernel Oil*, Organic Butyrospermum Parkii (Shea) Butter*, Organic Cocos Nucifera (Coconut) Oil*, Organic Molasses*, Xanthan Gum, Capryloyl Glycine, Organic Rosmarinus Officinalis (Rosemary) Leaf Extract*, Guar Hydroxypropyltrimonium Chloride, Organic Nutri-Soothe Complex [Glycerin*, Calendula Officinalis Flower Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Nasturtium Officinale (Watercress) Flower/Leaf Extract*, Pueraria Lobata (Kudzu Root) Root Extract*, Spiraea Ulmaria (Meadowsweet) Flower Extract*], Avena Sativa (Oat) Kernel, Potassium Sorbate, Sodium Chloride, Citric Acid"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/920617-Hello_Bello_Premium_Bubble_Bath_Calming_Soft_Lavender/,Hello Bello,"Premium Bubble Bath, Calming Soft Lavender",verified,https://static.ewg.org/skindeep_images/9206/920617.jpg,"Water, Sodium Laurylglucosides Hydroxypropylsulfonate, Cocamidopropyl Hydroxysultaine, Coco-Glucoside, Sodium Methyl Cocoyl Taurate, Glycerin, Potassium Cocoyl Glycinate, Aloe Barbadensis Leaf Juice*, Helianthus Annuus (Sunflower) Seed Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Persea Gratissima (Avocado) Fruit Extract*, Calendula Officinalis Flower Extract*, Cucumis Sativus (Cucumber) Fruit Extract*, Lavandula Angustifolia (Lavender) Oil, Potassium Cocoate, 1,2-Hexanediol, Hydroxyacetophenone, Dehydroacetic Acid, Citric Acid, Trisodium Ethylenediamine Disuccinate
*Organic"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/735378-Babo_Botanicals_Sensitive_Baby_Fragrance_Free_Shampoo__Wash/,Babo Botanicals,Sensitive Baby Fragrance Free Shampoo & Wash,verified,https://static.ewg.org/skindeep_images/7353/735378.jpg,"Purified Water, Sodium Cocoamphoacetate, Sodium Lauryl Glucose Carboxylate, Lauryl Glucoside, Sodium Chloride, Coco Glucoside, Glyceryl Oleate, Aloe Barbadensis Leaf Extract, Hydrolyzed Oat Protein, Calendula Officinalis Flower Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Nasturtium Officinale (Watercress) Flower/Leaf Extract*, Pueraria Lobata (Kudzu) Root Extract*, Spiraea Ulmaris (Meadowsweet) Flower Extract*, Citric Acid, Sodium Dehydroacetate, Glycerin, Sodium Gluconate, Cocos Nucifera (Coconut) Oil, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea) Butter *CERTIFIED ORGANIC INGREDIENTS"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/773163-ATTITUDE_baby_leaves_Bubble_Wash_pear_nectar/,ATTITUDE,"baby leaves Bubble Wash, pear nectar",verified,https://static.ewg.org/skindeep_images/7731/773163.jpg,"Aqua / water / eau, sodium coco-sulfate, coco-glucoside, glycerin, sodium cocoyl isethionate, sodium chloride, citric acid, glyceryl oleate, sodium benzoate, potassium sorbate, vaccinium angustifolium (blueberry / bleuet) leaf extract, moringa oleifera seed extract, maltodextrin, cyamopsis tetragonoba (guar) gum, gamma-undecalactone (sweet fruit), ethyl acetate (pear)."
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/802189-California_Baby_Calendula_Bubble_Bath/,California Baby,Calendula Bubble Bath,01,https://static.ewg.org/skindeep_images/8021/802189.jpg,"Water, decyl glucoside*, lauryl glucoside*, quillaja saponaria bark extract (soap bark), vegetable glycerine USP*, calendula officinalis flower extract (calendula), viola tricolor extract (pansy), yucca schidigera root extract (yucca), aloe barbadensis leaf juice (aloe vera), pure essential oils lavandula angustifolia (French lavender) and salvia sclarea (clary sage), phytic acid (rice origin), gluconolactone** , (and) sodium benzoate"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/836651-Puracy_Natural_Baby_Bubble_Bath/,Puracy,Natural Baby Bubble Bath,01,https://static.ewg.org/skindeep_images/8366/836651.jpg,"Purified Water, Cocamidopropyl Hydroxysultaine (Coconut-Based Cleanser), Sodium Lauroamphoacetate (Coconut-Based Cleanser), Lauryl Glucoside (Coconut-Based Cleanser), Vegetable Glycerin (Plant-Based Skin Softener), Coco Glycinate (Coconut-Based Cleanser), Aloe Barbadensis (Aloe Vera) Leaf Juice, Musa Sapientum (Banana) Fruit Extract, Carica Papaya (Papaya) Fruit Extract, Mangifera Indica (Mango) Fruit Extract, Cucumis Melo (Muskmelon) Extract, Prunus Persica (Peach) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Punica Granatum (Pomegranate) Fruit Extract, Persea Gratissima (Avocado) Fruit Extract, Citric Acid (Plant-Based Preservative), Coco-Glucoside (Coconut-Based Cleanser), Glyceryl Oleate (Plant-Based Skin Softener), Lavender Essential Oil, Caprylhydroxamic Acid (Coconut-Based Preservative), Caprylyl Glycol (Coconut-Based Preservative), Ethylhexylglycerin (Biodegradable Preservative), Propanediol (Plant-Based Preservative), Himalayan Pink Sea Salt, Vanillin ex Vanilla Bean (Natural)"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/877030-Alaffia_Bubble_Bath_Coconut__Hibiscus_Coconut_Strawberry/,Alaffia,"Bubble Bath Coconut & Hibiscus, Coconut Strawberry",01,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"HIBISCUS SABDARIFFA (HIBISCUS) AQUEOUS EXTRACT, LAURYL GLUCOSIDE, DECYL GLUCOSIDE, AROMATIC COCOS NUCIFERA (COCONUT) EXTRACT, COCOS NUCIFERA (COCONUT) OIL*, FRAGARIA ANANASSA (STRAWBERRY) EXTRACT, PHENOXYETHANOL."
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/877451-Alaffia_Shea__Lemon_Balm_Bubble_Bath_Eucalyptus_Mint/,,"Alaffia Shea & Lemon Balm Bubble Bath, Eucalyptus Mint",01,https://static.ewg.org/skindeep_images/8774/877451.jpg,"MELISSA OFFICINALIS (LEMON BALM) AQUEOUS EXTRACT, BUTYROSPERMUM PARKII (SHEA) LEAF* AQUEOUS EXTRACT, DECYL GLUCOSIDE, LAURYL GLUCOSIDE, EUCALYPTUS GLOBULUS (EUCALYPTUS) OIL, CITRUS DULCIS (ORANGE) EXTRACT, BUTYROSPERMUM PARKII (SHEA) BUTTER*, MENTHA SPICATA (SPEARMINT) LEAF OIL."
