cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/932872-Aramoon_Bebe_Babys_Xylitol_Toothpaste_Fluoride_Free_Blueberry/,Aramoon,"Bebe Baby's Xylitol Toothpaste, Fluoride Free Blueberry",verified,https://static.ewg.org/skindeep_images/9328/932872.jpg
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/841516-Spry_Kids_Spry_Tooth_Gel_With_Xylitol_Original/,Spry,"Kids Tooth Gel With Xylitol, Original",01,https://static.ewg.org/skindeep_images/8415/841516.jpg
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/879882-Hello_Fluoride_Toothpaste_Bubble_Gum/,,"Hello Fluoride Toothpaste, Bubble Gum",03,https://static.ewg.org/skindeep_images/8798/879882.jpg
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/874666-Kids_Crest_Cavity_Protection_Fluoride_Anticavity_Toothpaste_Bubble_Gum/,,"Kid's Crest Cavity Protection Fluoride Anticavity Toothpaste, Bubble Gum",03,https://static.ewg.org/skindeep_images/8746/874666.jpg
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/916906-Orajel_Paw_Training_Toothpaste_Patrol_Fluoride_Free__Fruity_Fun/,Orajel,"Paw Training Toothpaste Patrol Fluoride Free , Fruity Fun",03,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/884540-Burts_Bees_Fluoride_Toothpaste_for_Kids_Fruit_Fusion/,Burt's Bees,"Fluoride Toothpaste for Kids, Fruit Fusion",03,https://static.ewg.org/skindeep_images/8845/884540.jpg
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/878286-Hello_Fluoride_Free_Paste__Bpa_Free_Toddler_Toothbrush_Organic_Apple/,,"Hello Fluoride Free Paste + Bpa Free Toddler Toothbrush, Organic Apple",03,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/878288-Woo_Bam_Boo_Eco_Awesome_Toothpaste_Bubble_Berry/,,"Woo Bam Boo! Eco Awesome Toothpaste, Bubble Berry",03,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/789945-JASON_Kids_ONLY_Toothpaste_Orange/,,"JASON Kids ONLY Toothpaste, Orange",03,https://static.ewg.org/skindeep_images/7899/789945.jpg
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/888377-Toms_of_Maine_Natural_Toddler_Training_Toothpaste_Mild_Fruit/,Tom's of Maine,"Natural Toddler Training Toothpaste, Mild Fruit",04,https://static.ewg.org/skindeep_images/8883/888377.jpg
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/789944-JASON_Kids_ONLY_Toothpaste_Strawberry_/,JASON,"Kids ONLY Toothpaste, Strawberry",04,https://static.ewg.org/skindeep_images/7899/789944.jpg
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/707650-Lowens_Natural_Skin_Care_Be_Local_Lip_Balm/,Lowen's Natural Skin Care,Be Local Lip Balm,verified,https://phorcys-static.ewg.org/image/contents/548253/original.jpg?1595613909
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/699766-Lowens_Natural_Skin_Care_Lip_Balm_Pumpkin_Pie/,Lowen's Natural Skin Care,"Lip Balm, Pumpkin Pie",verified,https://phorcys-static.ewg.org/image/contents/548256/original.jpg?1595614135
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/766690-isoi_Sensitive_Skin_Moisture_Lip_Balm/,isoi,Sensitive Skin Moisture Lip Balm,verified,https://static.ewg.org/skindeep_images/7666/766690.jpg
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/771640-isoi_Bulgarian_Rose_Lip_Treatment_Balm_Baby_Pink/,isoi,Bulgarian Rose Lip Treatment Balm (Baby Pink),verified,https://static.ewg.org/skindeep_images/7716/771640.jpg
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/694687-Silk_Therapeutics_Lip_Revive_Sweet_Orange/,Silk Therapeutics,"Lip Revive, Sweet Orange",verified,https://static.ewg.org/skindeep_images/6946/694687.jpg
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/707651-Lowens_Natural_Skin_Care_Fresh_Mint_Mojito/,Lowen's Natural Skin Care,Fresh Mint Mojito,verified,https://static.ewg.org/skindeep_images/7076/707651.jpg
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/699752-Lowens_Natural_Skin_Care_Lip_Balm_Daves_Not_Here_Man/,Lowen's Natural Skin Care,"Lip Balm, Dave's Not Here Man",verified,https://static.ewg.org/skindeep_images/6997/699752.jpg
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/657033-Beautycounter_Lip_Conditioner_Peppermint_/,Beautycounter,"Lip Conditioner, Peppermint",verified,https://static.ewg.org/skindeep_images/6570/657033.jpg
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/699756-Lowens_Natural_Skin_Care_Lip_Balm_Hayseed/,Lowen's Natural Skin Care,"Lip Balm, Hayseed",verified,https://phorcys-static.ewg.org/image/contents/548255/original.jpg?1595614093
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/766500-Lab_Grab_by_Silk_Therapeutics_BalmLip_Fix/,LabGrab by Silk Therapeutics,Lab Grab by Silk Therapeutics Balm-Lip Fix,verified,https://static.ewg.org/skindeep_images/7665/766500.jpg
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/759029-GAONDODAM_Pure_Lip_Balm/,Gaondodam,Pure Lip Balm,verified,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/663973-Qet_Botanicals_Lip_Gloss_with_Olive__Avocado/,Qet Botanicals,Lip Gloss with Olive & Avocado,verified,https://static.ewg.org/skindeep_images/6639/663973.jpg
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/699762-Lowens_Natural_Skin_Care_Lip_Balm_Lime_in_da_Coconut_/,Lowen's Natural Skin Care,"Lip Balm, Lime in 'da Coconut",verified,https://static.ewg.org/skindeep_images/6997/699762.jpg
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/670273-Organic_to_Green_Moisturizer_Artic_Skin__Lip_Coco_Shea_Vanilla/,Organic to Green,Moisturizer Artic Skin & Lip Coco Shea Vanilla,verified,https://static.ewg.org/skindeep_images/6702/670273.jpg
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/699751-Lowens_Natural_Skin_Care_Lip_Balm_Funky_Cold_Camelina/,Lowen's Natural Skin Care,"Lip Balm, Funky Cold Camelina",verified,https://static.ewg.org/skindeep_images/6997/699751.jpg
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/759027-GAONDODAM_Pure_Tint_Lip_Balm_Pink/,Gaondodam,Pure Tint Lip Balm Pink,verified,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Makeup,Lip Balm,https://www.ewg.org/skindeep/products/932852-VERSED_Silk_Slip_Conditioning_Lip_Oil/,Versed,Silk Slip Conditioning Lip Oil,verified,https://static.ewg.org/skindeep_images/9328/932852.jpg
