cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img
Nails,Nail Polish,https://www.ewg.org/skindeep/products/878228-China_Glaze_Nail_Lacquer_With_Hardeners_1290_Thistle_Do_Nicely/,China Glaze,"Nail Lacquer With Hardeners, 1290 Thistle Do Nicely",02,https://static.ewg.org/skindeep_images/8782/878228.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/780087-Poofy_Supernaturals_Sweet_as_Sugar_Nail_Polish/,Poofy Supernaturals,Sweet as Sugar Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/779818-Poofy_Supernaturals_Blue_Eyes_Nail_Polish/,Poofy Supernaturals,Blue Eyes Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/779906-Poofy_Supernaturals_Gold_Rush_Nail_Polish/,Poofy Supernaturals,Gold Rush Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/780135-Poofy_Supernaturals_Wingin_It_Nail_Polish/,Poofy Supernaturals,Wingin' It Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/780036-Poofy_Supernaturals_Razzle_Dazzle_Nail_Polish/,Poofy Supernaturals,Razzle Dazzle Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/780023-Poofy_Supernaturals_Pretty_in_Pink_Nail_Polish/,Poofy Supernaturals,Pretty in Pink Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/779897-Poofy_Supernaturals_Funky_Fine_Nail_Polish/,Poofy Supernaturals,Funky Fine Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/878971-Sally_Hansen_Spray_on_Base_Coat/,Sally Hansen,Spray on Base Coat,02,https://static.ewg.org/skindeep_images/8789/878971.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/779924-Poofy_Supernaturals_Hot_Chocolate_Nail_Polish/,Poofy Supernaturals,Hot Chocolate Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/780106-Poofy_Supernaturals_Tinsel_Town_Nail_Polish/,Poofy Supernaturals,Tinsel Town Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/779909-Poofy_Supernaturals_Green_Machine_Nail_Polish/,Poofy Supernaturals,Green Machine Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/779957-Poofy_Supernaturals_Mauvelous_Nail_Polish/,Poofy Supernaturals,Mauvelous Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/779839-Poofy_Supernaturals_Cali_Rose_Nail_Polish/,Poofy Supernaturals,Cali Rose Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/880435-Ella__Mila_Base_Coat_Nail_Lacquer/,,Ella + Mila Base Coat Nail Lacquer,02,https://static.ewg.org/skindeep_images/8804/880435.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/780029-Poofy_Supernaturals_Purple_Rain_Nail_Polish/,Poofy Supernaturals,Purple Rain Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/780031-Poofy_Supernaturals_Raspberry_Beret_Nail_Polish/,Poofy Supernaturals,Raspberry Beret Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/780026-Poofy_Supernaturals_Pumpkin_Patch_Nail_Polish/,Poofy Supernaturals,Pumpkin Patch Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/759935-Piggy_Paint_Nail_Polish_Glass_Slippers/,Piggy Paint,"Nail Polish, Glass Slippers",02,https://static.ewg.org/skindeep_images/7599/759935.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/780048-Poofy_Supernaturals_Sandy_Beach_Nail_Polish/,Poofy Supernaturals,Sandy Beach Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/780019-Poofy_Supernaturals_Powder_Room_Nail_Polish/,Poofy Supernaturals,Powder Room Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/779951-Poofy_Supernaturals_Love_Affair_Nail_Polish/,Poofy Supernaturals,Love Affair Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/779907-Poofy_Supernaturals_Great_Escape_Nail_Polish/,Poofy Supernaturals,Great Escape Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/779849-Poofy_Supernaturals_Clowning_Around_Nail_Polish/,Poofy Supernaturals,Clowning Around Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/779927-Poofy_Supernaturals_I_AM_Dark_Blue_Nail_Polish/,Poofy Supernaturals,I AM Dark Blue Nail Polish,02,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/759959-Piggy_Paint_Nail_Polish_LOL/,Piggy Paint,"Nail Polish, LOL",02,https://static.ewg.org/skindeep_images/7599/759959.jpg
