cat_name,subcat_name,link
Makeup,Bronzer/Highlighter,https://www.ewg.org/skindeep/browse/category/Bronzer__Highlighter/
Makeup,Concealer,https://www.ewg.org/skindeep/browse/category/Concealer/
Makeup,Facial Powder,https://www.ewg.org/skindeep/browse/category/Facial_powder/
Makeup,Foundation,https://www.ewg.org/skindeep/browse/category/Foundation/
Makeup,Makeup Primer,https://www.ewg.org/skindeep/browse/category/Makeup_primer/
Makeup,Makeup Remover,https://www.ewg.org/skindeep/browse/category/Makeup_remover/
Makeup,Makeup With SPF,https://www.ewg.org/skindeep/browse/category/Makeup_with_SPF/
Makeup,No content,No link
Makeup,Brow Liner,https://www.ewg.org/skindeep/browse/category/Brow_liner/
Makeup,Eye Liner,https://www.ewg.org/skindeep/browse/category/Eye_liner/
Makeup,Eye Makeup Remover,https://www.ewg.org/skindeep/browse/category/Eye_makeup_remover/
Makeup,Eye Shadow,https://www.ewg.org/skindeep/browse/category/Eye_shadow/
Makeup,Mascara,https://www.ewg.org/skindeep/browse/category/Mascara/
Makeup,Eyelash Glue,https://www.ewg.org/skindeep/browse/category/Eyelash_glue/
Makeup,Other Eye Makeup,https://www.ewg.org/skindeep/browse/category/Other_eye_makeup/
Makeup,No content,No link
Makeup,Lip Balm,https://www.ewg.org/skindeep/browse/category/Lip_balm/
Makeup,Lip Gloss,https://www.ewg.org/skindeep/browse/category/Lip_gloss/
Makeup,Lip Liner,https://www.ewg.org/skindeep/browse/category/Lip_liner/
Makeup,Lip Plumper,https://www.ewg.org/skindeep/browse/category/Lip_plumper/
Makeup,Lipstick,https://www.ewg.org/skindeep/browse/category/Lipstick/
Makeup,Lip Balm With SPF,https://www.ewg.org/skindeep/browse/category/Lip_balm_with_SPF/
Makeup,No content,No link
Makeup,Body Art,https://www.ewg.org/skindeep/browse/category/Body_art/
Makeup,Glitter,https://www.ewg.org/skindeep/browse/category/Glitter/
Fragrance,Body Spray,https://www.ewg.org/skindeep/browse/category/Body_Spray/
Fragrance,Fragrance For Men,https://www.ewg.org/skindeep/browse/category/Fragrance_for_men/
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/browse/category/Fragrance_for_women/
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/browse/category/Baby_bubble_bath/
Babies,Baby Lotion,https://www.ewg.org/skindeep/browse/category/Baby_lotion/
Babies,Baby Oil,https://www.ewg.org/skindeep/browse/category/Baby_oil/
Babies,Baby Powder,https://www.ewg.org/skindeep/browse/category/Baby_powder/
Babies,Baby Shampoo,https://www.ewg.org/skindeep/browse/category/Baby_shampoo/
Babies,Baby Soap,https://www.ewg.org/skindeep/browse/category/Baby_soap/
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/browse/category/Baby_toothpaste/
Babies,Baby Wipes,https://www.ewg.org/skindeep/browse/category/Baby_wipes/
Babies,Diaper Cream,https://www.ewg.org/skindeep/browse/category/Diaper_cream/
Oral Care,Baby Toothpaste,https://www.ewg.org/skindeep/browse/category/Baby_toothpaste/
Oral Care,Lip Balm,https://www.ewg.org/skindeep/browse/category/Lip_balm/
Oral Care,Mouthwash,https://www.ewg.org/skindeep/browse/category/Mouthwash/
Oral Care,Tooth Whitening,https://www.ewg.org/skindeep/browse/category/Tooth_whitening/
Oral Care,Toothpaste,https://www.ewg.org/skindeep/browse/category/Toothpaste/
Men,No content,No link
Men,After Shave,https://www.ewg.org/skindeep/browse/category/After_shave/?marketed_for=men
Men,Beard Oil,https://www.ewg.org/skindeep/browse/category/Beard_oil/
Men,Beard Care,https://www.ewg.org/skindeep/browse/category/Beard_care/
Men,Beard Cleanser,https://www.ewg.org/skindeep/browse/category/Beard_cleanser/
Men,Facial Cleanser,https://www.ewg.org/skindeep/browse/category/Facial_cleanser/?marketed_for=men
Men,Facial Moisturizer/Treatment,https://www.ewg.org/skindeep/browse/category/Facial_moisturizer__treatment/?marketed_for=men
Men,Shaving Cream,https://www.ewg.org/skindeep/browse/category/Shaving_cream/?marketed_for=men
Men,No content,No link
Men,Antiperspirant/Deodorant,https://www.ewg.org/skindeep/browse/category/Antiperspirant__deodorant/?marketed_for=men
Men,Body Spray,https://www.ewg.org/skindeep/browse/category/Body_spray/?marketed_for=men
Men,Body Wash/Cleanser,https://www.ewg.org/skindeep/browse/category/Body_wash__cleanser/?marketed_for=men
Men,Fragrance For Men,https://www.ewg.org/skindeep/browse/category/Fragrance_for_men/?marketed_for=men
Men,No content,No link
Men,Hair Color And Bleaching,https://www.ewg.org/skindeep/browse/category/Hair_color_and_bleaching/?marketed_for=men
Men,Hair Loss Treatment,https://www.ewg.org/skindeep/browse/category/Hair-loss_treatment/?marketed_for=men
Men,Shampoo,https://www.ewg.org/skindeep/browse/category/Shampoo/?marketed_for=men
Men,Styling Gel/Lotion,https://www.ewg.org/skindeep/browse/category/Styling_gel__lotion/?marketed_for=men
